EUD01_01,EUD01_02,EUD01_03,EUD01_04,EUD01_05,EUD01_06,EUD01_07,EUD01_08,EUD01_09,EUD01_96,EUD01_97,EUD01_99,id,Generation,HH02,HH03,HH04,IN02,IN05,SI03_3_H,PB01_mod,S01_mod,SI06_mod,HLS02_mod,DHO01_mod,DEGURBA_mod,DHE01_mod,DHE02_mod,DHE03_mod,DHE04_mod,RA04_mod,VV10,res_stat_mod_1,arop_mod,RA03,VH01a,DO27_mod
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,578.0,1.0,26.0,2.0,5.0,8.0,154.0,9.0,2.0,0,0,0,1,3.0,5.0,0,3.0,1,0,0.0,0,,12.0,0.0,1
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,580.0,1.0,45.0,2.0,7.0,8.0,154.0,19.0,1.0,1,0,0,0,3.0,4.0,0,2.0,1,1,0.0,1,,8.0,10.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,586.0,2.0,21.0,1.0,1.0,8.0,1.0,20.0,1.0,0,0,0,0,3.0,5.0,0,3.0,1,0,1.0,1,,9.0,4.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.0,1.0,34.0,1.0,4.0,8.0,154.0,11.0,1.0,0,0,0,1,3.0,5.0,0,3.0,1,0,1.0,0,,9.0,8.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,596.0,1.0,36.0,2.0,10.0,8.0,154.0,1.0,1.0,0,0,0,0,3.0,5.0,1,3.0,1,0,0.0,0,,12.0,0.0,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.0,1.0,26.0,1.0,10.0,8.0,154.0,1.0,1.0,0,0,0,0,3.0,4.0,0,3.0,0,0,2.0,0,,5.0,7.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,603.0,1.0,23.0,2.0,10.0,8.0,154.0,1.0,1.0,0,0,0,0,3.0,2.0,0,3.0,0,0,1.0,0,,5.0,12.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,611.0,1.0,26.0,1.0,10.0,8.0,154.0,1.0,1.0,0,0,0,0,3.0,4.0,0,3.0,0,1,2.0,0,,7.0,10.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,612.0,1.0,26.0,2.0,10.0,8.0,154.0,1.0,1.0,0,0,0,0,3.0,4.0,0,3.0,1,0,2.0,0,,3.0,13.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,620.0,1.0,39.0,1.0,1.0,8.0,154.0,11.0,1.0,0,0,0,0,3.0,5.0,0,3.0,1,0,0.0,0,,5.0,0.0,1
